model,method,action_list_len,image_size,MAE,match_ratio
claude,self-refine,57.0,12019200.0,116.03460058386412,0.3333299999999999
claude,self-refine,1.0,1927680.0,9.34144087468789,1.0
claude,self-refine,5.0,1689600.0,53.443347091194966,1.0
claude,self-refine,29.0,3884160.0,63.48147087107686,0.06897
claude,self-refine,37.0,2250240.0,130.16267277644232,0.43243
claude,self-refine,2.0,2705280.0,90.90129513888888,0.5
claude,self-refine,6.0,1827840.0,21.15499213836478,1.0
claude,self-refine,3.0,737280.0,85.45364829009434,1.0
claude,self-refine,69.0,6952320.0,95.62785881765068,0.28986
claude,self-refine,39.0,1089600.0,82.29770359848484,0.6153799999999999
claude,self-refine,4.0,629760.0,90.22608097484276,0.75
claude,self-refine,13.0,3008640.0,56.236673161470826,0.84615
claude,self-refine,17.0,5360640.0,56.89777166193182,0.58824
claude,self-refine,4.0,864000.0,94.08993956367924,1.0
claude,self-refine,139.0,7929600.0,91.03890110731793,0.0
claude,self-refine,69.0,7916160.0,82.11577326242997,0.04348
claude,self-refine,89.0,5441280.0,79.0915579088391,0.14607
claude,self-refine,152.0,4368000.0,75.22752700617283,0.01974
claude,self-refine,41.0,8115840.0,110.84904532596984,0.17073
claude,self-refine,1.0,1557120.0,37.31633254716981,1.0
claude,self-refine,29.0,2964480.0,48.45134770377129,0.6896599999999999
claude,self-refine,8.0,1589760.0,30.191473268995097,1.0
claude,self-refine,4.0,844800.0,72.05958628144654,1.0
claude,self-refine,5.0,1981440.0,17.323179450757575,1.0
claude,self-refine,1.0,1263360.0,48.67893081761007,1.0
claude,self-refine,125.0,5145600.0,81.34010879155282,0.024
claude,self-refine,5.0,1221120.0,56.63434060534591,1.0
claude,self-refine,1.0,1013760.0,125.687106918239,1.0
claude,self-refine,65.0,3709440.0,73.62620468339895,0.16923
claude,self-refine,344.0,7718400.0,79.28490156448837,0.0058099999999999
claude,self-refine,8.0,637440.0,106.94464216820988,1.0
claude,self-refine,22.0,2795520.0,21.910693191580755,0.81818
claude,self-refine,33.0,14893440.0,99.93454063512772,0.7575799999999999
claude,self-refine,5.0,929280.0,71.75055277122641,1.0
claude,self-refine,2.0,4992000.0,57.83784584435626,1.0
